register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99400264609,Hospital de Dia,92086037833,,2011-02-14T00:00:00+01:00,2021-03-03T22:14:21.956812+01:00,,,330708,C Taquígraf Garriga,4,,19,les Corts,04,Les Corts,08014,BARCELONA,True,,223268,20001,Telèfons,Tel.,934443109,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,427393.88673169137,4581937.95464301,41.385693845190495,2.1316073419512267
﻿99400279672,Clínica Sant Antoni,,,2011-10-06T11:34:12+02:00,2021-03-03T22:14:17.821814+01:00,,,299608,C Sant Eloi,6,,13,la Marina de Port,03,Sants-Montjuïc,08038,BARCELONA,True,,224552,20001,Telèfons,Tel.,932974010,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,428338.5142517392,4578640.233041299,41.356077131946996,2.1432939430344455
﻿75990218352,Centre Hospitalari Copèrnic,,,1996-09-18T00:00:00+02:00,2021-03-03T22:14:31.442670+01:00,,,090105,C Copèrnic,58,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08006,BARCELONA,True,,146891,20003,Telèfons,Centraleta,934141992,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,428214.2933926655,4583644.340170998,41.40113621820896,2.1412163449618147
﻿92086002898,Hospital El Pilar - Institut Cardiovascular Sant Jordi,,,1985-04-25T00:00:00+02:00,2021-03-03T22:16:15.509028+01:00,,,032700,C Balmes,271,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08006,BARCELONA,True,,160283,20003,Telèfons,Centraleta,932360500,True,24 hores,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,428822.42250146344,4583562.876094094,41.400456568684135,2.1485002924408882
﻿92086002931,Centre d'Atenció Primària Adrià,,,1984-05-30T00:00:00+02:00,2021-05-12T10:36:36.540400+02:00,,,353500,C Vallmajor,34,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08021,BARCELONA,True,,159966,20003,Telèfons,Centraleta,933621125,True,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,0065103008000001,428011.59237784205,4583570.53384777,41.40045335150616,2.138800439931985
﻿75990421973,Hospital Quirónsalud Barcelona,,,1997-03-22T00:00:00+01:00,2021-08-05T16:53:02.757790+02:00,,,701103,Plaça d'Alfonso Comín,7,7,28,Vallcarca i els Penitents,06,Gràcia,08023,Barcelona,True,,153294,20003,Telèfons,Centraleta,932381600,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,427952.51686190005,4585264.675886431,41.41570648103172,2.1378921010617593
﻿75990132981,Clínica Centro Médico Aragón,,,1996-09-18T00:00:00+02:00,2021-03-03T22:14:25.834884+01:00,,,361406,Viladomat,158,,09,la Nova Esquerra de l'Eixample,02,Eixample,08015,BARCELONA,True,,145960,20001,Telèfons,Tel.,934529930,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,429210.00014798,4581603.419292863,41.382842666072804,2.153365428284767
﻿99400063728,Centre d'Atenció Primària Sagrada Família,,,2003-10-22T13:51:20+02:00,2021-07-19T22:11:36.528272+02:00,,,090502,C Còrsega,643,,06,la Sagrada Família,02,Eixample,08025,BARCELONA,True,,207369,20003,Telèfons,Centraleta,935072700,True,,61731069,CAPs,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,651,0065103008000001,431190.08028070786,4584621.637259045,41.41019859412113,2.176701437705301
﻿68125439,Instituto Oftalmológico Tres Torres,,,2000-03-08T00:00:00+01:00,2021-03-03T22:14:06.880055+01:00,,,028000,Via Augusta,281,,24,les Tres Torres,05,Sarrià-Sant Gervasi,08017,BARCELONA,True,,129246,20006,Telèfons,Informació,900842848,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,427267.42467331194,4583268.912630522,41.39766980618415,2.1299351525099426
﻿75990274567,Centro Médico Teknon,,,1996-09-18T00:00:00+02:00,2021-07-19T13:04:44.466550+02:00,,,362205,C Vilana,12,,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,08022,BARCELONA,True,,148302,20003,Telèfons,Centraleta,932906200,True,,61731068,Hospitals i clíniques,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,651,0065103008000000,427146.24966265744,4584137.7971301535,41.40548450111436,2.128381188050171
